ds,y
2025-02-18 00:00:00.000,-33
2025-02-18 01:00:00.000,-23
2025-02-18 02:00:00.000,-14
2025-02-18 03:00:00.000,-24
2025-02-18 04:00:00.000,-29
2025-02-18 05:00:00.000,-35
2025-02-18 06:00:00.000,-34
2025-02-18 07:00:00.000,-30
2025-02-18 08:00:00.000,-29
2025-02-18 09:00:00.000,-27
2025-02-18 10:00:00.000,-24
2025-02-18 11:00:00.000,-27
2025-02-18 12:00:00.000,-28
2025-02-18 13:00:00.000,-22
2025-02-18 14:00:00.000,-15
2025-02-18 15:00:00.000,-16
2025-02-18 16:00:00.000,-15
2025-02-18 17:00:00.000,-16
2025-02-18 18:00:00.000,-13
2025-02-18 19:00:00.000,-14
2025-02-18 20:00:00.000,-12
2025-02-18 21:00:00.000,-15
2025-02-18 22:00:00.000,-30
2025-02-18 23:00:00.000,-38
2025-02-19 00:00:00.000,-23
